Coin,classification,Total PnL,Average PnL,Number of Trades
FET,Extreme Greed,146.6,24.43,6
FET,Fear,17.05,17.05,1
FET,Greed,65.51,3.64,18
FIL,Greed,-35.28,-11.76,3
FTM,Extreme Greed,6945.38,117.72,59
FTM,Greed,-29.22,-29.22,1
FTM,Neutral,0.0,0.0,1
FTT,Extreme Fear,854.61,65.74,13
FTT,Extreme Greed,1600.85,7.48,214
FTT,Fear,1253.44,65.97,19
FTT,Greed,2282.89,6.43,355
FTT,Neutral,917.57,26.22,35
FXS,Extreme Greed,28.86,2.62,11
FXS,Greed,-150.79,-4.57,33
GALA,Extreme Greed,145.76,13.25,11
GALA,Fear,18.79,18.79,1
GALA,Greed,6.49,6.49,1
GALA,Neutral,13.1,6.55,2
GAS,Neutral,60.61,60.61,1
GMT,Extreme Fear,4.63,4.63,1
GMT,Extreme Greed,188.12,6.72,28
GMT,Fear,119.5,11.95,10
GMT,Greed,4.93,0.7,7
GMT,Neutral,11.45,5.72,2
GMX,Extreme Fear,622.41,103.74,6
GMX,Extreme Greed,61.86,2.38,26
GMX,Neutral,15.17,2.17,7
GOAT,Extreme Fear,44.72,44.72,1
GOAT,Extreme Greed,7971.84,135.12,59
GOAT,Greed,110.87,55.43,2
GOAT,Neutral,15.52,15.52,1
GRASS,Extreme Fear,1036.46,17.87,58
GRASS,Extreme Greed,85.66,1.95,44
GRASS,Fear,28.95,4.14,7
GRASS,Greed,81.55,6.27,13
GRASS,Neutral,20.66,6.89,3
GRIFFAIN,Extreme Fear,-378.09,-189.05,2
GRIFFAIN,Extreme Greed,4240.79,19.45,218
GRIFFAIN,Fear,1910.41,26.91,71
GRIFFAIN,Greed,1928.75,18.37,105
GRIFFAIN,Neutral,-609.72,-24.39,25
HBAR,Extreme Greed,1770.24,19.67,90
HBAR,Greed,130.42,4.83,27
HBAR,Neutral,8.85,8.85,1
HPOS,Extreme Greed,-882.63,-38.38,23
HPOS,Greed,2744.07,76.22,36
HPOS,Neutral,117.9,58.95,2
HYPE,Extreme Fear,482083.81,101.26,4761
HYPE,Extreme Greed,159686.56,66.4,2405
HYPE,Fear,840306.35,62.07,13537
HYPE,Greed,166307.64,60.04,2770
HYPE,Neutral,300100.24,35.15,8538
HYPER,Greed,874.47,30.15,29
ILV,Extreme Greed,4767.67,89.96,53
